name,url,currentVersion,crownUpdateDate
DFE-Digital/dfe-complete-conversions-transfers-and-changes,https://github.com/DFE-Digital/dfe-complete-conversions-transfers-and-changes,4.8.0,2024-05-01T09:08:06Z
DEFRA/fmp-app,https://github.com/DEFRA/fmp-app,4.8.0,2024-02-06T14:58:46Z
DFE-Digital/curriculum-materials,https://github.com/DFE-Digital/curriculum-materials,3.6.0,N/A
hmcts/frontend,https://github.com/hmcts/frontend,3.10.2,N/A
hmcts/prl-citizen-frontend,https://github.com/hmcts/prl-citizen-frontend,4.3.1,N/A
ministryofjustice/hmpps-nomis-sync-dashboard,https://github.com/ministryofjustice/hmpps-nomis-sync-dashboard,5.3.1,2024-02-06T17:04:00Z
digital-land/design-system,https://github.com/digital-land/design-system,4.0.1,N/A
hmcts/fis-ds-web,https://github.com/hmcts/fis-ds-web,4.0.0,N/A
hmcts/ctsc-web-chat,https://github.com/hmcts/ctsc-web-chat,2.13.0,N/A
ministryofjustice/local-scorecard,https://github.com/ministryofjustice/local-scorecard,4.0.1,N/A
govuk-one-login/ipv-cri-address-front,https://github.com/govuk-one-login/ipv-cri-address-front,4.8.0,2024-02-19T09:45:40Z
hmcts/et-sya-frontend,https://github.com/hmcts/et-sya-frontend,4.8.0,2024-02-20T10:02:50Z
ministryofjustice/send-legal-mail-to-prisons,https://github.com/ministryofjustice/send-legal-mail-to-prisons,5.3.1,2024-02-23T11:19:59Z
ministryofjustice/hmcts-common-platform-mock-api,https://github.com/ministryofjustice/hmcts-common-platform-mock-api,4.7.0,N/A
dwp/idt-ei-ui,https://github.com/dwp/idt-ei-ui,3.14.0,undefined
hmcts/adoption-web,https://github.com/hmcts/adoption-web,4.8.0,2024-02-20T08:31:57Z
dwp/agentSafeguarding,https://github.com/dwp/agentSafeguarding,3.9.1,N/A
ministryofjustice/manage-a-workforce-ui,https://github.com/ministryofjustice/manage-a-workforce-ui,4.8.0,2024-04-29T09:58:48Z
ministryofjustice/pre-sentence-service,https://github.com/ministryofjustice/pre-sentence-service,4.4.0,N/A
hmrc/corporation-tax-frontend,https://github.com/hmrc/corporation-tax-frontend,3.12.0,N/A
hmrc/vat-frontend,https://github.com/hmrc/vat-frontend,3.12.0,N/A
ministryofjustice/hmpps-restricted-patients,https://github.com/ministryofjustice/hmpps-restricted-patients,5.3.1,2024-02-14T11:05:55Z
ministryofjustice/network-access-control-admin,https://github.com/ministryofjustice/network-access-control-admin,3.8.1,N/A
defra-design/check-for-flooding,https://github.com/defra-design/check-for-flooding,3.12.0,N/A
hmrc/tracking-consent-frontend,https://github.com/hmrc/tracking-consent-frontend,5.3.0,2024-04-22T09:44:20Z
DEFRA/ffc-sfi-map-web,https://github.com/DEFRA/ffc-sfi-map-web,3.14.0,N/A
defra-design/whitehall-template,https://github.com/defra-design/whitehall-template,3.11.0,N/A
ministryofjustice/opg-sirius-supervision-workflow,https://github.com/ministryofjustice/opg-sirius-supervision-workflow,5.3.1,undefined
DFE-Digital/sdd-design-history,https://github.com/DFE-Digital/sdd-design-history,3.10.2,N/A
trade-tariff/trade-tariff-duty-calculator,https://github.com/trade-tariff/trade-tariff-duty-calculator,5.3.1,2024-05-08T08:24:39Z
trade-tariff/trade-tariff-frontend,https://github.com/trade-tariff/trade-tariff-frontend,5.3.1,2024-05-08T08:25:01Z
UKGovernmentBEIS/transparency-db-admin-portal,https://github.com/UKGovernmentBEIS/transparency-db-admin-portal,3.15.0,undefined
hmcts/nfdiv-frontend,https://github.com/hmcts/nfdiv-frontend,5.4.0,2024-04-05T11:40:21Z
UKGovernmentBEIS/transparency-db-publicsearch-portal,https://github.com/UKGovernmentBEIS/transparency-db-publicsearch-portal,3.15.0,2024-02-29T11:02:33Z
ministryofjustice/hmpps-interventions-ui,https://github.com/ministryofjustice/hmpps-interventions-ui,4.7.0,N/A
ministryofjustice/prison-services-feedback-and-support,https://github.com/ministryofjustice/prison-services-feedback-and-support,5.0.0,N/A
ministryofjustice/formbuilder-product-page,https://github.com/ministryofjustice/formbuilder-product-page,4.8.0,undefined
ministryofjustice/prisoner-content-hub-frontend,https://github.com/ministryofjustice/prisoner-content-hub-frontend,4.8.0,2024-03-26T10:24:16Z
DEFRA/waste-export-controls-tool,https://github.com/DEFRA/waste-export-controls-tool,3.9.0,N/A
companieshouse/lfp-appeals-frontend,https://github.com/companieshouse/lfp-appeals-frontend,3.15.0,2024-02-15T14:29:20Z
DEFRA/hapi-govuk-question-page,https://github.com/DEFRA/hapi-govuk-question-page,3.11.0,N/A
uktrade/dit-contact-forms,https://github.com/uktrade/dit-contact-forms,3.14.0,N/A
LandRegistry/digital-registration-service,https://github.com/LandRegistry/digital-registration-service,4.1.0,N/A
