Colour,Function,Used as,Used in,Concept
#f3f3f3,,background-color,".govuk-file-upload-button--empty:active,
.govuk-file-upload-button--empty:focus,
.govuk-file-upload-button--empty:hover",file-upload-button--empty
#d2e2f1,,background-color,".govuk-file-upload-button--empty:active .govuk-file-upload-button__status,
.govuk-file-upload-button--empty:focus .govuk-file-upload-button__status,
.govuk-file-upload-button--empty:hover .govuk-file-upload-button__status",file-upload-button--empty
#0b0c0c,,border-color,.govuk-file-upload-button--dragging,file-upload-button--dragging
#f3f3f3,,background-color,.govuk-file-upload-button--dragging.govuk-file-upload-button--empty,file-upload-button--dragging
#fff,,background-color,.govuk-file-upload-button:disabled,file-upload-button
#f3f3f3,,background-color,.govuk-file-upload-button:disabled .govuk-file-upload-button__pseudo-button,file-upload-button
#d2e2f1,,background-color,.govuk-file-upload-button:disabled .govuk-file-upload-button__status,file-upload-button
#1d70b8,brand,border-top-color,.govuk-footer,footer
#0b0c0c,surface-text,color,.govuk-footer,footer
#f4f8fb,template-background,background,.govuk-footer,footer
#fd0,focus,background-color,.govuk-footer__link:focus,footer__link
#fd0,focus,box-shadow,.govuk-footer__link:focus,footer__link
#0b0c0c,focus-text,box-shadow,.govuk-footer__link:focus,footer__link
#1a65a6,link,color,.govuk-footer__link:link,footer__link
#54319f,link-visited,color,.govuk-footer__link:visited,footer__link
#0f385c,link-hover,color,.govuk-footer__link:hover,footer__link
#0b0c0c,link-active,color,.govuk-footer__link:active,footer__link
#0b0c0c,focus-text,color,.govuk-footer__link:focus,footer__link
#8eb8dc,surface-border,border-bottom,.govuk-footer__section-break,footer__section-break
#0b0c0c,text,color,".govuk-footer__copyright-logo:active,
.govuk-footer__copyright-logo:link,
.govuk-footer__copyright-logo:visited",footer__copyright-logo
#0b0c0c,focus-text,color,.govuk-footer__copyright-logo:focus,footer__copyright-logo
#8eb8dc,surface-border,border-bottom,.govuk-footer__heading,footer__heading
#fff,,color,.govuk-header,header
#1d70b8,brand,background,.govuk-header,header
#fff,,color,".govuk-header__homepage-link:link,
.govuk-header__homepage-link:visited",header__homepage-link
#0b0c0c,focus-text,color,.govuk-header__homepage-link:focus,header__homepage-link
#fd0,focus,background-color,.govuk-header__homepage-link:focus,header__homepage-link
#fd0,focus,box-shadow,.govuk-header__homepage-link:focus,header__homepage-link
#0b0c0c,focus-text,box-shadow,.govuk-header__homepage-link:focus,header__homepage-link
#00ffe0,,fill,.govuk-logo-dot,logo-dot
#0b0c0c,,color,.govuk-header,header
#0b0c0c,,color,".govuk-header__homepage-link:link,
.govuk-header__homepage-link:visited",header__homepage-link
#cecece,border,border-left-color,.govuk-inset-text,inset-text
#0b0c0c,text,color,.govuk-inset-text,inset-text
#1d70b8,brand,border-color,.govuk-notification-banner,notification-banner
#1d70b8,brand,background-color,.govuk-notification-banner,notification-banner
#fd0,focus,outline-color,.govuk-notification-banner:focus,notification-banner
#fff,,color,.govuk-notification-banner__title,notification-banner__title
#0b0c0c,text,color,.govuk-notification-banner__content,notification-banner__content
